candidate_name	family	module_variant	region_mode	top_window_k	beta_region	beta_repeat	beta_hairpin	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue
rbp_trace_v2_score_region__inferred__k_3__beta_0.25	region		inferred	3	0.25			200	55382	283	15	0.075	0.053003533568904596	1.0219927052110793	14.677208480565373	1.8322462822219758e-13
rbp_trace_v2_score_region__inferred__k_3__beta_0.25	region		inferred	3	0.25			500	55382	283	28	0.056	0.0989399293286219	2.5549817630276985	10.958982332155477	1.1884176030787299e-20
rbp_trace_v2_score_region__inferred__k_3__beta_0.25	region		inferred	3	0.25			1000	55382	283	50	0.05	0.17667844522968199	5.109963526055397	9.784805653710247	4.855502886949398e-34
rbp_trace_v2_score_repeat__self_complementarity__k_3__beta_0.25	self_complementarity	self_complementarity		3		0.25		50	55382	283	1	0.02	0.0035335689045936395	0.25549817630276983	3.913922261484099	0.22606460519294055
rbp_trace_v2_score_repeat__self_complementarity__k_3__beta_0.25	self_complementarity	self_complementarity		3		0.25		100	55382	283	4	0.04	0.014134275618374558	0.5109963526055397	7.827844522968198	0.0017815003051390179
rbp_trace_v2_score_repeat__self_complementarity__k_3__beta_0.25	self_complementarity	self_complementarity		3		0.25		200	55382	283	13	0.065	0.045936395759717315	1.0219927052110793	12.720247349823323	4.637811008882113e-11
rbp_trace_v2_score_repeat__self_complementarity__k_3__beta_0.25	self_complementarity	self_complementarity		3		0.25		500	55382	283	28	0.056	0.0989399293286219	2.5549817630276985	10.958982332155477	1.1884176030787299e-20
rbp_trace_v2_score_repeat__self_complementarity__k_3__beta_0.25	self_complementarity	self_complementarity		3		0.25		1000	55382	283	50	0.05	0.17667844522968199	5.109963526055397	9.784805653710247	4.855502886949398e-34
rbp_trace_v2_score_repeat__inverted_repeat__k_3__beta_0.25	self_complementarity	inverted_repeat		3		0.25		50	55382	283	2	0.04	0.007067137809187279	0.25549817630276983	7.827844522968198	0.027132982367874585
rbp_trace_v2_score_repeat__inverted_repeat__k_3__beta_0.25	self_complementarity	inverted_repeat		3		0.25		100	55382	283	5	0.05	0.0176678445229682	0.5109963526055397	9.784805653710249	0.00017036480270641945
rbp_trace_v2_score_repeat__inverted_repeat__k_3__beta_0.25	self_complementarity	inverted_repeat		3		0.25		200	55382	283	14	0.07	0.04946996466431095	1.0219927052110793	13.698727915194347	3.030117683160773e-12
rbp_trace_v2_score_repeat__inverted_repeat__k_3__beta_0.25	self_complementarity	inverted_repeat		3		0.25		500	55382	283	33	0.066	0.1166077738515901	2.5549817630276985	12.915943462897527	2.0101989551652878e-26
rbp_trace_v2_score_repeat__inverted_repeat__k_3__beta_0.25	self_complementarity	inverted_repeat		3		0.25		1000	55382	283	52	0.052	0.18374558303886926	5.109963526055397	10.176197879858657	3.030298368213331e-36
rbp_trace_v2_score_repeat__minus_simple_repeat_penalty__k_3__beta_0.25	self_complementarity	minus_simple_repeat_penalty		3		0.25		50	55382	283	0	0.0	0.0	0.25549817630276983	0.0	1.0
rbp_trace_v2_score_repeat__minus_simple_repeat_penalty__k_3__beta_0.25	self_complementarity	minus_simple_repeat_penalty		3		0.25		100	55382	283	0	0.0	0.0	0.5109963526055397	0.0	1.0
rbp_trace_v2_score_repeat__minus_simple_repeat_penalty__k_3__beta_0.25	self_complementarity	minus_simple_repeat_penalty		3		0.25		200	55382	283	0	0.0	0.0	1.0219927052110793	0.0	1.0
rbp_trace_v2_score_repeat__minus_simple_repeat_penalty__k_3__beta_0.25	self_complementarity	minus_simple_repeat_penalty		3		0.25		500	55382	283	2	0.004	0.007067137809187279	2.5549817630276985	0.7827844522968198	0.7259873181509241
rbp_trace_v2_score_repeat__minus_simple_repeat_penalty__k_3__beta_0.25	self_complementarity	minus_simple_repeat_penalty		3		0.25		1000	55382	283	10	0.01	0.0353356890459364	5.109963526055397	1.9569611307420496	0.03421723705980996
rbp_trace_v2_score_repeat__self_complementarity_minus_simple_repeat_penalty__k_3__beta_0.25	self_complementarity	self_complementarity_minus_simple_repeat_penalty		3		0.25		50	55382	283	4	0.08	0.014134275618374558	0.25549817630276983	15.655689045936397	0.00012775212668203554
rbp_trace_v2_score_repeat__self_complementarity_minus_simple_repeat_penalty__k_3__beta_0.25	self_complementarity	self_complementarity_minus_simple_repeat_penalty		3		0.25		100	55382	283	6	0.06	0.02120141342756184	0.5109963526055397	11.741766784452297	1.3457474886061908e-05
rbp_trace_v2_score_repeat__self_complementarity_minus_simple_repeat_penalty__k_3__beta_0.25	self_complementarity	self_complementarity_minus_simple_repeat_penalty		3		0.25		200	55382	283	12	0.06	0.04240282685512368	1.0219927052110793	11.741766784452297	6.537468874055962e-10
rbp_trace_v2_score_repeat__self_complementarity_minus_simple_repeat_penalty__k_3__beta_0.25	self_complementarity	self_complementarity_minus_simple_repeat_penalty		3		0.25		500	55382	283	18	0.036	0.0636042402826855	2.5549817630276985	7.045060070671378	1.5899904551746693e-10
rbp_trace_v2_score_repeat__self_complementarity_minus_simple_repeat_penalty__k_3__beta_0.25	self_complementarity	self_complementarity_minus_simple_repeat_penalty		3		0.25		1000	55382	283	23	0.023	0.0812720848056537	5.109963526055397	4.501010600706714	2.827906274814185e-09
rbp_trace_v2_score_paired_architecture__k_3__beta_0.25	paired_architecture	paired_architecture		3			0.25	50	55382	283	5	0.1	0.0176678445229682	0.25549817630276983	19.569611307420498	5.903141865067836e-06
rbp_trace_v2_score_paired_architecture__k_3__beta_0.25	paired_architecture	paired_architecture		3			0.25	100	55382	283	16	0.16	0.05653710247349823	0.5109963526055397	31.311378091872793	1.2913794301838538e-19
rbp_trace_v2_score_paired_architecture__k_3__beta_0.25	paired_architecture	paired_architecture		3			0.25	200	55382	283	26	0.13	0.09187279151943463	1.0219927052110793	25.440494699646646	1.1256751719621933e-28
rbp_trace_v2_score_paired_architecture__k_3__beta_0.25	paired_architecture	paired_architecture		3			0.25	500	55382	283	36	0.072	0.127208480565371	2.5549817630276985	14.090120141342757	4.466003252137463e-30
rbp_trace_v2_score_paired_architecture__k_3__beta_0.25	paired_architecture	paired_architecture		3			0.25	1000	55382	283	48	0.048	0.1696113074204947	5.109963526055397	9.393413427561837	7.037724790867853e-32
rbp_trace_v2_score_region__explicit__k_3__beta_0.5	region		explicit	3	0.5			50	55382	283	4	0.08	0.014134275618374558	0.25549817630276983	15.655689045936397	0.00012775212668203554
