seed	label	split_name	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue	score_variant
1989451307	final_score_0.7A_0.3B	heldout	200	55382	85	4	0.02	0.047058823529411764	0.3069589397277094	13.031058823529412	0.00026585296744680183	final_score_0.7A_0.3B
1989451307	final_score_0.7A_0.3B	heldout	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06	final_score_0.7A_0.3B
1989451307	final_score_0.7A_0.3B	heldout	1000	55382	85	17	0.017	0.2	1.5347946986385468	11.0764	2.0413349387555667e-13	final_score_0.7A_0.3B
1989451307	final_score_0.5A_0.5B	heldout	50	55382	85	2	0.04	0.023529411764705882	0.07673973493192734	26.062117647058823	0.002718446297612528	final_score_0.5A_0.5B
1989451307	final_score_0.5A_0.5B	heldout	100	55382	85	4	0.04	0.047058823529411764	0.1534794698638547	26.062117647058823	1.810712769027053e-05	final_score_0.5A_0.5B
1989451307	final_score_0.5A_0.5B	heldout	200	55382	85	4	0.02	0.047058823529411764	0.3069589397277094	13.031058823529412	0.00026585296744680183	final_score_0.5A_0.5B
1989451307	final_score_0.5A_0.5B	heldout	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06	final_score_0.5A_0.5B
1989451307	final_score_0.5A_0.5B	heldout	1000	55382	85	16	0.016	0.18823529411764706	1.5347946986385468	10.424847058823529	2.7913285098061328e-12	final_score_0.5A_0.5B
1989451307	final_score_0.3A_0.7B	heldout	50	55382	85	2	0.04	0.023529411764705882	0.07673973493192734	26.062117647058823	0.002718446297612528	final_score_0.3A_0.7B
1989451307	final_score_0.3A_0.7B	heldout	100	55382	85	4	0.04	0.047058823529411764	0.1534794698638547	26.062117647058823	1.810712769027053e-05	final_score_0.3A_0.7B
1989451307	final_score_0.3A_0.7B	heldout	200	55382	85	4	0.02	0.047058823529411764	0.3069589397277094	13.031058823529412	0.00026585296744680183	final_score_0.3A_0.7B
1989451307	final_score_0.3A_0.7B	heldout	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06	final_score_0.3A_0.7B
1989451307	final_score_0.3A_0.7B	heldout	1000	55382	85	14	0.014	0.16470588235294117	1.5347946986385468	9.121741176470588	4.148628118290772e-10	final_score_0.3A_0.7B
1289457136	A_branch_score	heldout	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	A_branch_score
1289457136	A_branch_score	heldout	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	A_branch_score
1289457136	A_branch_score	heldout	200	55382	85	5	0.025	0.058823529411764705	0.3069589397277094	16.288823529411765	1.5155851473831538e-05	A_branch_score
1289457136	A_branch_score	heldout	500	55382	85	9	0.018	0.10588235294117647	0.7673973493192734	11.72795294117647	8.319009241327734e-08	A_branch_score
1289457136	A_branch_score	heldout	1000	55382	85	15	0.015	0.17647058823529413	1.5347946986385468	9.773294117647058	3.539891612987571e-11	A_branch_score
1289457136	B_branch_score	heldout	50	55382	85	2	0.04	0.023529411764705882	0.07673973493192734	26.062117647058823	0.002718446297612528	B_branch_score
1289457136	B_branch_score	heldout	100	55382	85	3	0.03	0.03529411764705882	0.1534794698638547	19.546588235294116	0.0005066767547709261	B_branch_score
1289457136	B_branch_score	heldout	200	55382	85	7	0.035	0.08235294117647059	0.3069589397277094	22.804352941176468	2.8036287197230294e-08	B_branch_score
1289457136	B_branch_score	heldout	500	55382	85	8	0.016	0.09411764705882353	0.7673973493192734	10.424847058823529	1.0931368718162731e-06	B_branch_score
