seed	label	split_name	top_k	universe_genes	truth_genes	overlap	precision	recall	expected_random	fold_enrichment	hypergeom_pvalue	model_name
1778277625	logistic_l2	heldout	200	55382	85	3	0.015	0.03529411764705882	0.3069589397277094	9.773294117647058	0.0036863461672057792	logistic_l2
1778277625	logistic_l2	heldout	500	55382	85	5	0.01	0.058823529411764705	0.7673973493192734	6.515529411764706	0.0010657068517250707	logistic_l2
1778277625	logistic_l2	heldout	1000	55382	85	10	0.01	0.11764705882352941	1.5347946986385468	6.515529411764706	3.245648476373267e-06	logistic_l2
1778277625	logistic_elasticnet	calibration	50	55382	198	1	0.02	0.005050505050505051	0.1787584413708425	5.594141414141414	0.16402632991152752	logistic_elasticnet
1778277625	logistic_elasticnet	calibration	100	55382	198	3	0.03	0.015151515151515152	0.357516882741685	8.39121212121212	0.005642919245790956	logistic_elasticnet
1778277625	logistic_elasticnet	calibration	200	55382	198	8	0.04	0.04040404040404041	0.71503376548337	11.188282828282828	7.102170742175267e-07	logistic_elasticnet
1778277625	logistic_elasticnet	calibration	500	55382	198	15	0.03	0.07575757575757576	1.7875844137084251	8.39121212121212	4.850136187818098e-10	logistic_elasticnet
1778277625	logistic_elasticnet	calibration	1000	55382	198	28	0.028	0.1414141414141414	3.5751688274168503	7.8317979797979795	5.1648455895816934e-17	logistic_elasticnet
1778277625	logistic_elasticnet	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	logistic_elasticnet
1778277625	logistic_elasticnet	heldout	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	logistic_elasticnet
1778277625	logistic_elasticnet	heldout	200	55382	85	3	0.015	0.03529411764705882	0.3069589397277094	9.773294117647058	0.0036863461672057792	logistic_elasticnet
1778277625	logistic_elasticnet	heldout	500	55382	85	5	0.01	0.058823529411764705	0.7673973493192734	6.515529411764706	0.0010657068517250707	logistic_elasticnet
1778277625	logistic_elasticnet	heldout	1000	55382	85	10	0.01	0.11764705882352941	1.5347946986385468	6.515529411764706	3.245648476373267e-06	logistic_elasticnet
1624446027	logistic_l2	calibration	50	55382	198	1	0.02	0.005050505050505051	0.1787584413708425	5.594141414141414	0.16402632991152752	logistic_l2
1624446027	logistic_l2	calibration	100	55382	198	7	0.07	0.03535353535353535	0.357516882741685	19.57949494949495	8.111382016641936e-08	logistic_l2
1624446027	logistic_l2	calibration	200	55382	198	11	0.055	0.05555555555555555	0.71503376548337	15.383888888888889	1.9865406411345842e-10	logistic_l2
1624446027	logistic_l2	calibration	500	55382	198	21	0.042	0.10606060606060606	1.7875844137084251	11.74769696969697	1.9547727806466843e-16	logistic_l2
1624446027	logistic_l2	calibration	1000	55382	198	31	0.031	0.15656565656565657	3.5751688274168503	8.670919191919191	5.2421437537357246e-20	logistic_l2
1624446027	logistic_l2	heldout	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	logistic_l2
1624446027	logistic_l2	heldout	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	logistic_l2
1624446027	logistic_l2	heldout	200	55382	85	3	0.015	0.03529411764705882	0.3069589397277094	9.773294117647058	0.0036863461672057792	logistic_l2
1624446027	logistic_l2	heldout	500	55382	85	3	0.006	0.03529411764705882	0.7673973493192734	3.9093176470588236	0.0419556450321807	logistic_l2
1624446027	logistic_l2	heldout	1000	55382	85	5	0.005	0.058823529411764705	1.5347946986385468	3.257764705882353	0.01906033581980446	logistic_l2
1624446027	logistic_elasticnet	calibration	50	55382	198	1	0.02	0.005050505050505051	0.1787584413708425	5.594141414141414	0.16402632991152752	logistic_elasticnet
1624446027	logistic_elasticnet	calibration	100	55382	198	7	0.07	0.03535353535353535	0.357516882741685	19.57949494949495	8.111382016641936e-08	logistic_elasticnet
1624446027	logistic_elasticnet	calibration	200	55382	198	11	0.055	0.05555555555555555	0.71503376548337	15.383888888888889	1.9865406411345842e-10	logistic_elasticnet
1624446027	logistic_elasticnet	calibration	500	55382	198	21	0.042	0.10606060606060606	1.7875844137084251	11.74769696969697	1.9547727806466843e-16	logistic_elasticnet
1624446027	logistic_elasticnet	calibration	1000	55382	198	30	0.03	0.15151515151515152	3.5751688274168503	8.39121212121212	5.428244247307409e-19	logistic_elasticnet
1624446027	logistic_elasticnet	heldout	50	55382	85	1	0.02	0.011764705882352941	0.07673973493192734	13.031058823529412	0.07395523750463028	logistic_elasticnet
1624446027	logistic_elasticnet	heldout	100	55382	85	2	0.02	0.023529411764705882	0.1534794698638547	13.031058823529412	0.010453459425604047	logistic_elasticnet
1624446027	logistic_elasticnet	heldout	200	55382	85	3	0.015	0.03529411764705882	0.3069589397277094	9.773294117647058	0.0036863461672057792	logistic_elasticnet
1624446027	logistic_elasticnet	heldout	500	55382	85	3	0.006	0.03529411764705882	0.7673973493192734	3.9093176470588236	0.0419556450321807	logistic_elasticnet
1624446027	logistic_elasticnet	heldout	1000	55382	85	5	0.005	0.058823529411764705	1.5347946986385468	3.257764705882353	0.01906033581980446	logistic_elasticnet
1797759645	logistic_l2	calibration	50	55382	198	1	0.02	0.005050505050505051	0.1787584413708425	5.594141414141414	0.16402632991152752	logistic_l2
1797759645	logistic_l2	calibration	100	55382	198	4	0.04	0.020202020202020204	0.357516882741685	11.188282828282828	0.0004753235763067282	logistic_l2
1797759645	logistic_l2	calibration	200	55382	198	11	0.055	0.05555555555555555	0.71503376548337	15.383888888888889	1.9865406411345842e-10	logistic_l2
1797759645	logistic_l2	calibration	500	55382	198	19	0.038	0.09595959595959595	1.7875844137084251	10.628868686868687	3.369443414552566e-14	logistic_l2
1797759645	logistic_l2	calibration	1000	55382	198	27	0.027	0.13636363636363635	3.5751688274168503	7.552090909090909	4.735495398005706e-16	logistic_l2
1797759645	logistic_l2	heldout	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	logistic_l2
1797759645	logistic_l2	heldout	100	55382	85	0	0.0	0.0	0.1534794698638547	0.0	1.0	logistic_l2
1797759645	logistic_l2	heldout	200	55382	85	2	0.01	0.023529411764705882	0.3069589397277094	6.515529411764706	0.03809108791724583	logistic_l2
1797759645	logistic_l2	heldout	500	55382	85	5	0.01	0.058823529411764705	0.7673973493192734	6.515529411764706	0.0010657068517250707	logistic_l2
1797759645	logistic_l2	heldout	1000	55382	85	9	0.009	0.10588235294117647	1.5347946986385468	5.863976470588235	2.377776121539834e-05	logistic_l2
1797759645	logistic_elasticnet	calibration	50	55382	198	1	0.02	0.005050505050505051	0.1787584413708425	5.594141414141414	0.16402632991152752	logistic_elasticnet
1797759645	logistic_elasticnet	calibration	100	55382	198	4	0.04	0.020202020202020204	0.357516882741685	11.188282828282828	0.0004753235763067282	logistic_elasticnet
1797759645	logistic_elasticnet	calibration	200	55382	198	12	0.06	0.06060606060606061	0.71503376548337	16.78242424242424	1.058738683901139e-11	logistic_elasticnet
1797759645	logistic_elasticnet	calibration	500	55382	198	22	0.044	0.1111111111111111	1.7875844137084251	12.30711111111111	1.3718066144429168e-17	logistic_elasticnet
1797759645	logistic_elasticnet	calibration	1000	55382	198	27	0.027	0.13636363636363635	3.5751688274168503	7.552090909090909	4.735495398005706e-16	logistic_elasticnet
1797759645	logistic_elasticnet	heldout	50	55382	85	0	0.0	0.0	0.07673973493192734	0.0	1.0	logistic_elasticnet
1797759645	logistic_elasticnet	heldout	100	55382	85	0	0.0	0.0	0.1534794698638547	0.0	1.0	logistic_elasticnet
1797759645	logistic_elasticnet	heldout	200	55382	85	3	0.015	0.03529411764705882	0.3069589397277094	9.773294117647058	0.0036863461672057792	logistic_elasticnet
1797759645	logistic_elasticnet	heldout	500	55382	85	7	0.014	0.08235294117647059	0.7673973493192734	9.121741176470588	1.2608221543409588e-05	logistic_elasticnet
1797759645	logistic_elasticnet	heldout	1000	55382	85	10	0.01	0.11764705882352941	1.5347946986385468	6.515529411764706	3.245648476373267e-06	logistic_elasticnet
748698052	logistic_l2	calibration	50	55382	198	3	0.06	0.015151515151515152	0.1787584413708425	16.78242424242424	0.0007794496324364642	logistic_l2
748698052	logistic_l2	calibration	100	55382	198	5	0.05	0.025252525252525252	0.357516882741685	13.985353535353536	3.1737531758486736e-05	logistic_l2
748698052	logistic_l2	calibration	200	55382	198	6	0.03	0.030303030303030304	0.71503376548337	8.39121212121212	8.975945120187941e-05	logistic_l2
748698052	logistic_l2	calibration	500	55382	198	12	0.024	0.06060606060606061	1.7875844137084251	6.712969696969697	3.0497981024981465e-07	logistic_l2
