seed	candidate_name	top200_overlap	top200_fold_enrichment	top200_hypergeom_pvalue	top500_overlap	top500_hypergeom_pvalue
1989451307	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.1__beta_hairpin_0.5	16	22.376565656565656	3.663154997960854e-17	23	9.140100293996939e-19
1989451307	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.1__beta_hairpin_1.0	17	23.77510101010101	1.308791025749298e-18	25	3.497356615639897e-21
1989451307	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.25__beta_hairpin_0.1	10	13.985353535353536	3.3837043464144284e-09	20	2.6393664570210143e-15
1989451307	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.25__beta_hairpin_0.25	11	15.383888888888889	1.9865406411345842e-10	25	3.497356615639897e-21
1989451307	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.25__beta_hairpin_0.5	13	18.180959595959596	5.156837834697902e-13	23	9.140100293996939e-19
1989451307	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.25__beta_hairpin_1.0	17	23.77510101010101	1.308791025749298e-18	24	5.792402431394479e-20
1989451307	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.5__beta_hairpin_0.1	8	11.188282828282828	7.102170742175267e-07	18	4.0572419425987673e-13
1989451307	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.5__beta_hairpin_0.25	9	12.586818181818181	5.190545154851394e-08	20	2.6393664570210143e-15
1989451307	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.5__beta_hairpin_0.5	11	15.383888888888889	1.9865406411345842e-10	22	1.3718066144429168e-17
1989451307	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_0.5__beta_hairpin_1.0	14	19.57949494949495	2.3087246810897346e-14	22	1.3718066144429168e-17
1989451307	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_1.0__beta_hairpin_0.1	7	9.789747474747475	8.56673938739102e-06	12	3.0497981024981465e-07
1989451307	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_1.0__beta_hairpin_0.25	7	9.789747474747475	8.56673938739102e-06	13	3.850323107076825e-08
1989451307	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_1.0__beta_hairpin_0.5	7	9.789747474747475	8.56673938739102e-06	16	4.882974508817255e-11
1989451307	rbp_trace_v2_score_all_context__beta_region_1.0__beta_repeat_1.0__beta_hairpin_1.0	11	15.383888888888889	1.9865406411345842e-10	19	3.369443414552566e-14
1289457136	rbp_trace_v2_score_region__beta_0.1	9	12.586818181818181	5.190545154851394e-08	20	2.6393664570210143e-15
1289457136	rbp_trace_v2_score_region__beta_0.25	9	12.586818181818181	5.190545154851394e-08	20	2.6393664570210143e-15
1289457136	rbp_trace_v2_score_region__beta_0.5	9	12.586818181818181	5.190545154851394e-08	20	2.6393664570210143e-15
1289457136	rbp_trace_v2_score_region__beta_1.0	9	12.586818181818181	5.190545154851394e-08	20	2.6393664570210143e-15
1289457136	rbp_trace_v2_score_repeat__beta_0.1	8	11.188282828282828	7.102170742175267e-07	24	5.792402431394479e-20
1289457136	rbp_trace_v2_score_repeat__beta_0.25	7	9.789747474747475	8.56673938739102e-06	23	9.140100293996939e-19
1289457136	rbp_trace_v2_score_repeat__beta_0.5	7	9.789747474747475	8.56673938739102e-06	19	3.369443414552566e-14
1289457136	rbp_trace_v2_score_repeat__beta_1.0	6	8.39121212121212	8.975945120187941e-05	18	4.0572419425987673e-13
1289457136	rbp_trace_v2_score_hairpin__beta_0.1	17	23.77510101010101	1.308791025749298e-18	21	1.9547727806466843e-16
1289457136	rbp_trace_v2_score_hairpin__beta_0.25	16	22.376565656565656	3.663154997960854e-17	25	3.497356615639897e-21
1289457136	rbp_trace_v2_score_hairpin__beta_0.5	18	25.173636363636362	4.3692581713693503e-20	26	2.014935397698134e-22
1289457136	rbp_trace_v2_score_hairpin__beta_1.0	16	22.376565656565656	3.663154997960854e-17	25	3.497356615639897e-21
1289457136	rbp_trace_v2_score_all_context__beta_region_0.1__beta_repeat_0.1__beta_hairpin_0.1	14	19.57949494949495	2.3087246810897346e-14	27	1.1092721286605223e-23
